weighting,cost_bp,sharpe,mean_annual_return
rank,0,0.2747829868413184,0.02274865493054809
rank,1,0.2592789295072781,0.02146520370178613
rank,2,0.24377500349066142,0.020181752473024162
rank,3,0.2282712097018447,0.01889830124426221
rank,4,0.21276754905115772,0.017614850015500238
rank,5,0.19726402244888203,0.016331398786738276
rank,6,0.18176063080525162,0.015047947557976319
rank,7,0.16625737503045138,0.013764496329214343
rank,8,0.15075425603461856,0.01248104510045238
rank,9,0.13525127472784113,0.011197593871690417
rank,10,0.11974843202015768,0.009914142642928449
rank,11,0.10424572882155822,0.008630691414166482
rank,12,0.08874316604198275,0.007347240185404534
rank,13,0.07324074459132067,0.0060637889566425565
rank,14,0.05773846537941265,0.004780337727880592
rank,15,0.04223632931604802,0.0034968864991186243
rank,16,0.026734337310965608,0.0022134352703566634
rank,17,0.01123249027385328,0.0009299840415946971
rank,18,-0.0042692108856521565,-0.0003534671871672638
rank,19,-0.019770765257965645,-0.0016369184159292357
rank,20,-0.03527217193355355,-0.002920369644691198
rank,21,-0.05077343000293431,-0.004203820873453154
rank,22,-0.06627453855667903,-0.005487272102215129
rank,23,-0.08177549668541069,-0.006770723330977085
rank,24,-0.09727630347980572,-0.008054174559739056
rank,25,-0.11277695803059307,-0.009337625788501025
rank,26,-0.12827745942855542,-0.010621077017262979
rank,27,-0.1437778067645289,-0.01190452824602495
rank,28,-0.15927799912940332,-0.013187979474786907
rank,29,-0.17477803561412308,-0.014471430703548872
rank,30,-0.19027791530968674,-0.01575488193231085
decile,0,0.2802468582245855,0.03210775842946106
decile,1,0.26309693524090577,0.030142978476044073
decile,2,0.24594709849189902,0.028178198522627092
decile,3,0.22879734877277264,0.026213418569210115
decile,4,0.21164768687870977,0.024248638615793152
decile,5,0.19449811360486713,0.022283858662376164
decile,6,0.177348629746378,0.02031907870895919
decile,7,0.1601992360983491,0.018354298755542217
decile,8,0.14304993345586178,0.01638951880212524
decile,9,0.12590072261397262,0.014424738848708265
decile,10,0.10875160436771132,0.012459958895291287
decile,11,0.09160257951208214,0.010495178941874309
decile,12,0.07445364884206318,0.008530398988457356
decile,13,0.057304813152605105,0.00656561903504035
decile,14,0.04015607323863356,0.004600839081623383
decile,15,0.02300742989504615,0.0026360591282063965
decile,16,0.005858883916714301,0.0006712791747894297
decile,17,-0.01128956390151837,-0.0012935007786275539
decile,18,-0.028437912764834983,-0.003258280732044527
decile,19,-0.04558616187844654,-0.005223060685461503
decile,20,-0.06273431044759167,-0.007187840638878491
decile,21,-0.07988235767753676,-0.00915262059229546
decile,22,-0.09703030277357635,-0.011117400545712426
decile,23,-0.11417814494103305,-0.013082180499129403
decile,24,-0.13132588338525855,-0.01504696045254639
decile,25,-0.14847351731163214,-0.017011740405963365
decile,26,-0.16562104592556282,-0.01897652035938033
decile,27,-0.18276846843248834,-0.02094130031279732
decile,28,-0.19991578403787488,-0.02290608026621429
decile,29,-0.21706299194721895,-0.02487086021963127
decile,30,-0.2342100913660462,-0.026835640173048243
