weighting,period,first_date,last_date,days,gross_sharpe,hac_t
rank,2014,2014-01-03,2014-12-31,251,0.7191807815125596,0.7888698833536318
rank,2015,2015-01-02,2015-12-31,252,1.1641272177932016,1.280845800189169
rank,2016,2016-01-04,2016-12-30,252,-0.23976561321540485,-0.24561628660373008
rank,2017,2017-01-03,2017-12-29,251,0.7857231106284309,0.7085845036045969
rank,2018,2018-01-02,2018-12-31,251,1.881092863560932,2.222308154371322
rank,2019,2019-01-02,2019-12-31,252,-0.023319760539459992,-0.02014352495803791
rank,2020,2020-01-02,2020-12-31,253,-0.7644244204315565,-0.9178342566549313
rank,2021,2021-01-04,2021-12-31,252,0.7491714765773974,0.6797350766747768
rank,2022,2022-01-03,2022-12-30,251,0.6541813413678994,0.9085282547180399
rank,2023,2023-01-03,2023-12-29,250,-0.35027669937740175,-0.312045721632087
rank,pre_half,2014-01-03,2018-12-31,1257,0.7424064068753411,1.7454843231384518
rank,post_half,2019-01-02,2023-12-29,1258,0.05239110140629971,0.12778623964725988
decile,2014,2014-01-03,2014-12-31,251,0.5662281301046697,0.6290437366595112
decile,2015,2015-01-02,2015-12-31,252,1.283759249967241,1.420946528248176
decile,2016,2016-01-04,2016-12-30,252,-0.28209528804280637,-0.29873876148033274
decile,2017,2017-01-03,2017-12-29,251,0.7933677646314962,0.7163613255367972
decile,2018,2018-01-02,2018-12-31,251,2.0089495729155744,2.318683458990509
decile,2019,2019-01-02,2019-12-31,252,-0.047650275945546244,-0.04186466141418252
decile,2020,2020-01-02,2020-12-31,253,-0.9738735725752165,-1.1445611433598477
decile,2021,2021-01-04,2021-12-31,252,0.808738053345979,0.7138239701156817
decile,2022,2022-01-03,2022-12-30,251,0.672709079872252,0.8986770673131695
decile,2023,2023-01-03,2023-12-29,250,-0.2082031606993374,-0.18795871022640218
decile,pre_half,2014-01-03,2018-12-31,1257,0.7482114333498534,1.7713560154828487
decile,post_half,2019-01-02,2023-12-29,1258,0.045464013252288535,0.10802654810861989
