,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252,composite,mom_120_20__decile,rev_5__decile,rvol_20__decile,vs_20__decile,rmom_120_20__decile,dd_252__decile,composite__decile
signal,signal_mom_120_20,signal_rev_5,signal_rvol_20,signal_vs_20,signal_rmom_120_20,signal_dd_252,signal_composite,decile_mom_120_20,decile_rev_5,decile_rvol_20,decile_vs_20,decile_rmom_120_20,decile_dd_252,decile_composite
days,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
first_date,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_positions,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.7295918367347,1731.4622892635316
mean_gross_exposure,0.9460357561161271,0.4377424619869672,0.9290254796117801,0.3932289957442317,0.9322707552095766,0.960025215304919,0.8997467434035434,0.8666999666907584,0.38492997209945434,0.8405678029587709,0.3776903218531055,0.8358777130047103,0.9190161709868009,0.9856614231399297
mean_net_exposure,-0.002018026190346046,5.860260662234312e-05,-0.0025001092853500716,0.000548074092050221,-0.0014790065286373764,-0.002465558302491481,-0.0026215305049925087,-0.0010115339555184656,-0.00021069355385663078,-0.0038111734626698145,0.0011099591181188192,-0.0006840261142467864,-0.0011212305461785446,-0.004819136007244243
max_abs_net_exposure,0.008848606677809847,0.005075104635457347,0.011185928641407411,0.005823934784056729,0.007828313796278286,0.009767038657199995,0.011271520676885305,0.0046354488989749035,0.0046630982245421775,0.016462897151012564,0.009448347483337042,0.004422183828800016,0.005763085644683421,0.02161916164352579
largest_position,0.002341159386214084,0.0017058643786514154,0.002992010393058632,0.0020969752824452383,0.002108190272938806,0.0025280204471867266,0.0035389275075555842,0.006529143318458726,0.003152252652223947,0.0024868054545789083,0.006591795202420809,0.005188522471387226,0.008424120606952409,0.004090154939392643
cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
cap_binds,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mean_daily_turnover,0.0161053983476299,0.034039455919737074,0.020202491046024514,0.03597041350220673,0.01783103565152368,0.014185073855422118,0.022506775384451404,0.013895382844712308,0.028017564360077383,0.01701459616249383,0.028162643135722414,0.015281104479917934,0.010398915772817229,0.032825968390014275
annual_turnover_multiple,4.058560383602735,8.577942891773743,5.091027743598177,9.064544202556096,4.493420984183968,3.5746386115663737,5.671707396881754,3.501636476867502,7.060426218739501,4.287678232948445,7.096986070202048,3.8508383289393193,2.6205267747499414,8.272144034283597
positions_without_return_per_day,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619,0.012644188110026619
gross_return_annualised_return,-0.0004326347327250484,0.010974262414476976,0.007955064346900116,0.005725210044279982,-0.002578024425660968,0.001632289678499511,0.00991214666280843,0.0024270816771620276,0.010607567420650105,0.001811265090640829,0.008085849918517005,-0.0007377914208195946,0.0007001635011966114,0.016708085300325224
