fold,model,train_rows,predict_rows,validation_rows,train_start,train_end,validation_start,validation_end,chosen_alpha,fit_seconds
1,ols,3011505,410273,410273,2006-02-01,2013-12-02,2014-01-02,2014-12-31,,0.4131636619567871
1,ridge,3011505,410273,410273,2006-02-01,2013-12-02,2014-01-02,2014-12-31,10000.0,1.7134971618652344
1,gbm,3011505,410273,410273,2006-02-01,2013-12-02,2014-01-02,2014-12-31,,6.5909788608551025
2,ols,3419479,418990,418990,2006-02-01,2014-12-02,2015-01-02,2015-12-31,,0.47962164878845215
2,ridge,3419479,418990,418990,2006-02-01,2014-12-02,2015-01-02,2015-12-31,10000.0,1.968895435333252
2,gbm,3419479,418990,418990,2006-02-01,2014-12-02,2015-01-02,2015-12-31,,7.306806564331055
3,ols,3836082,405969,405969,2006-02-01,2015-12-02,2016-01-04,2016-12-30,,0.5129871368408203
3,ridge,3836082,405969,405969,2006-02-01,2015-12-02,2016-01-04,2016-12-30,10000.0,2.2621333599090576
3,gbm,3836082,405969,405969,2006-02-01,2015-12-02,2016-01-04,2016-12-30,,7.940432071685791
4,ols,4238111,415633,415633,2006-02-01,2016-12-01,2017-01-03,2017-12-29,,0.5485138893127441
4,ridge,4238111,415633,415633,2006-02-01,2016-12-01,2017-01-03,2017-12-29,10000.0,2.498236894607544
4,gbm,4238111,415633,415633,2006-02-01,2016-12-01,2017-01-03,2017-12-29,,10.010571241378784
5,ols,4651637,431297,431297,2006-02-01,2017-11-30,2018-01-02,2018-12-31,,0.629406213760376
5,ridge,4651637,431297,431297,2006-02-01,2017-11-30,2018-01-02,2018-12-31,10000.0,2.6972646713256836
5,gbm,4651637,431297,431297,2006-02-01,2017-11-30,2018-01-02,2018-12-31,,11.40747356414795
6,ols,5081685,416420,416420,2006-02-01,2018-11-29,2019-01-02,2019-12-31,,0.7084605693817139
6,ridge,5081685,416420,416420,2006-02-01,2018-11-29,2019-01-02,2019-12-31,10000.0,2.9804868698120117
6,gbm,5081685,416420,416420,2006-02-01,2018-11-29,2019-01-02,2019-12-31,,12.37790036201477
7,ols,5496029,430321,430321,2006-02-01,2019-12-02,2020-01-02,2020-12-31,,0.7522339820861816
7,ridge,5496029,430321,430321,2006-02-01,2019-12-02,2020-01-02,2020-12-31,10000.0,3.162976026535034
7,gbm,5496029,430321,430321,2006-02-01,2019-12-02,2020-01-02,2020-12-31,,13.27227520942688
8,ols,5921557,486388,486388,2006-02-01,2020-12-02,2021-01-04,2021-12-31,,0.8642492294311523
8,ridge,5921557,486388,486388,2006-02-01,2020-12-02,2021-01-04,2021-12-31,10000.0,3.4257423877716064
8,gbm,5921557,486388,486388,2006-02-01,2020-12-02,2021-01-04,2021-12-31,,14.473877906799316
9,ols,6404437,463341,463341,2006-02-01,2021-12-02,2022-01-03,2022-12-30,,0.8852658271789551
9,ridge,6404437,463341,463341,2006-02-01,2021-12-02,2022-01-03,2022-12-30,10000.0,3.6838879585266113
9,gbm,6404437,463341,463341,2006-02-01,2021-12-02,2022-01-03,2022-12-30,,15.22176742553711
10,ols,6867844,414433,414433,2006-02-01,2022-12-01,2023-01-03,2023-11-30,,0.9860692024230957
10,ridge,6867844,414433,414433,2006-02-01,2022-12-01,2023-01-03,2023-11-30,10000.0,4.169528245925903
10,gbm,6867844,414433,414433,2006-02-01,2022-12-01,2023-01-03,2023-11-30,,16.342291355133057
