book,dropped,weighting,gross_sharpe,hac_t,net_sharpe_1bp,net_sharpe_5bp,net_sharpe_10bp,net_sharpe_20bp,breakeven_bp,annual_turnover,beta,max_drawdown,mean_rank_ic,rank_ic_hac_t
drop_mom_120_20__neutral,mom_120_20,rank,0.40965348969790044,1.2598707139331295,0.37310294484198286,0.22669110474910215,0.043678936560443145,-0.3223356594228546,11.189682064420253,6.60746143968792,-0.04338980536960129,-0.12000074984825926,0.01664686742977502,2.8548363840576307
drop_mom_120_20__neutral__decile,mom_120_20,decile,0.49217525262539097,1.4739943607625177,0.4587809442608817,0.3244173506481307,0.15646162241614994,-0.17945304981437218,14.649036452463884,9.314178384056662,-0.06374832233503187,-0.1846365993583171,0.01664686742977502,2.8548363840576307
drop_rev_5__neutral,rev_5,rank,0.22997249930418806,0.758787685268232,0.20845608850701766,0.12222921886441845,0.014446008661421657,-0.20111886112967223,10.666150445132548,4.980502949410922,-0.0556416952115825,-0.1367406773889095,0.011654898934498352,1.6394839616613743
drop_rev_5__neutral__decile,rev_5,decile,0.3257151808175173,1.0439325943869882,0.30388340891369214,0.21632224195911384,0.10687227200863861,-0.11202246560493094,14.876679347393168,7.486852208652867,-0.08705026395246024,-0.1922776381161494,0.011654898934498352,1.6394839616613743
drop_rvol_20__neutral,rvol_20,rank,0.30942348266548,1.0629834558004967,0.28197051947947604,0.17200872907801135,0.034559513968702396,-0.24032822167473186,11.253580109066428,5.696688778487751,-0.020333546574981487,-0.10575066780303932,0.007093173068478,1.1391283108556114
drop_rvol_20__neutral__decile,rvol_20,decile,0.46332171324608123,1.5532414052397137,0.4349619310541839,0.3212584249137459,0.17913157890336828,-0.10511305475615168,16.296395223580582,8.486315395054989,-0.02456237053102149,-0.14857276756096116,0.007093173068478,1.1391283108556114
drop_vs_20__neutral,vs_20,rank,0.3204429775532602,1.0557643254746663,0.29722928961512696,0.2042782830705938,0.0880906459245335,-0.1442803916363461,13.787134672636558,5.094718659110441,-0.04070213296857335,-0.12139385134026626,0.013142978694774167,1.9293732749393755
drop_vs_20__neutral__decile,vs_20,decile,0.4596863749726098,1.4613867895721178,0.4358688549790624,0.3402812087622847,0.22079698195185157,-0.018169969508818527,19.232494626086115,7.675603940658491,-0.06190199101513233,-0.18028115043433368,0.013142978694774167,1.9293732749393755
drop_rmom_120_20__neutral,rmom_120_20,rank,0.43419993905358906,1.384091146910871,0.4035617080711041,0.28086873852469796,0.12750534283431758,-0.17921139280318454,14.153083487687129,6.274732609791656,-0.0407004834569431,-0.1109104775650207,0.01836021155493993,2.8308188335034328
drop_rmom_120_20__neutral__decile,rmom_120_20,decile,0.5336777402676277,1.6480320084891966,0.5042214554324355,0.38583811347911207,0.2378579479526869,-0.058105060650072246,18.02846149813819,9.031896244812472,-0.05618695934009456,-0.17768688246142594,0.01836021155493993,2.8308188335034328
drop_dd_252__neutral,dd_252,rank,0.462027555536415,1.5018939025071838,0.4211294429812391,0.25723294322166856,0.05236210348437045,-0.35737890092864555,11.273834435919978,6.691959099388951,-0.020216769272984575,-0.08980157169372327,0.011169280718291813,2.1634627228480916
drop_dd_252__neutral__decile,dd_252,decile,0.6173958315003588,1.9747371812415577,0.5785240168700871,0.4225545498828981,0.2275902463777446,-0.16234522657877298,15.830409600455745,9.509891247108447,-0.029440972801598624,-0.12663240535973275,0.011169280718291813,2.1634627228480916
