weighting,cost_bp,sharpe,mean_annual_return
rank,0,0.29695059889901737,0.025038718956405914
rank,1,0.28356634884743986,0.023910168674946816
rank,2,0.2701820998353826,0.02278161839348772
rank,3,0.25679785215296075,0.021653068112028634
rank,4,0.24341360609029045,0.02052451783056954
rank,5,0.23002936193748663,0.019395967549110445
rank,6,0.21664511998466465,0.018267417267651347
rank,7,0.2032608805219391,0.01713886698619226
rank,8,0.1898766438394237,0.016010316704733164
rank,9,0.17649241022723242,0.01488176642327407
rank,10,0.1631081799754787,0.013753216141814966
rank,11,0.14972395337427521,0.012624665860355884
rank,12,0.1363397307137337,0.011496115578896786
rank,13,0.12295551228396628,0.010367565297437696
rank,14,0.10957129837508363,0.009239015015978598
rank,15,0.09618708927719592,0.008110464734519507
rank,16,0.08280288528041309,0.0069819144530604135
rank,17,0.06941868667484395,0.005853364171601315
rank,18,0.05603449375059661,0.004724813890142224
rank,19,0.04265030679777863,0.0035962636086831258
rank,20,0.029266126106496478,0.0024677133272240316
rank,21,0.015881951966856177,0.0013391630457649465
rank,22,0.0024977846689624404,0.00021061276430585764
rank,23,-0.010886375497080781,-0.0009179375171532396
rank,24,-0.024270528241170215,-0.0020464877986123282
rank,25,-0.03765467327320401,-0.003175038080071434
rank,26,-0.051038810303080655,-0.00430358836153052
rank,27,-0.0644229390407003,-0.005432138642989626
rank,28,-0.07780705919596367,-0.006560688924448711
rank,29,-0.09119117047877294,-0.007689239205907801
rank,30,-0.10457527259903138,-0.008817789487366893
decile,0,0.29716808027132,0.034610676017873473
decile,1,0.28296028274029544,0.032955881638231606
decile,2,0.26875245311220314,0.031301087258589745
decile,3,0.25454459160343473,0.029646292878947874
decile,4,0.24033669843038433,0.027991498499305996
decile,5,0.2261287738094495,0.026336704119664142
decile,6,0.21192081795702963,0.024681909740022264
decile,7,0.1977128310895275,0.023027115360380396
decile,8,0.18350481342334873,0.021372320980738515
decile,9,0.16929676517490105,0.019717526601096665
decile,10,0.15508868656059624,0.018062732221454793
decile,11,0.1408805777968472,0.016407937841812912
decile,12,0.1266724391000712,0.01475314346217106
decile,13,0.11246427068668649,0.013098349082529182
decile,14,0.09825607277311565,0.011443554702887306
decile,15,0.08404784557578267,0.009788760323245441
decile,16,0.06983958931111521,0.008133965943603575
decile,17,0.05563130419554259,0.0064791715639617095
decile,18,0.04142299044549741,0.004824377184319832
decile,19,0.027214648277414672,0.0031695828046779556
decile,20,0.013006277907732131,0.0015147884250360955
decile,21,-0.0012021204471102135,-0.00014000595460577012
decile,22,-0.01541054657066962,-0.0017948003342476441
decile,23,-0.029619000246500778,-0.0034495947138895168
decile,24,-0.04382748125815583,-0.005104389093531384
decile,25,-0.05803598938918449,-0.006759183473173255
decile,26,-0.07224452442313402,-0.008413977852815125
decile,27,-0.08645308614354895,-0.010068772232456988
decile,28,-0.10066167433397216,-0.011723566612098866
decile,29,-0.1148702887779427,-0.013378360991740723
decile,30,-0.1290789292589987,-0.015033155371382606
