weighting,period,first_date,last_date,days,gross_sharpe,hac_t
rank,2014,2014-01-03,2014-12-31,251,0.7058675706953813,0.775903742268719
rank,2015,2015-01-02,2015-12-31,252,1.1433550537372439,1.2774227871885617
rank,2016,2016-01-04,2016-12-30,252,-0.22043113846376425,-0.22764581041355164
rank,2017,2017-01-03,2017-12-29,251,0.8336426741427948,0.7619160445253115
rank,2018,2018-01-02,2018-12-31,251,1.9052399890473763,2.2132951592833043
rank,2019,2019-01-02,2019-12-31,252,0.030308484220402356,0.026373119294725845
rank,2020,2020-01-02,2020-12-31,253,-0.8116183796107644,-0.9602459284507958
rank,2021,2021-01-04,2021-12-31,252,0.7546936934630641,0.6684577603704184
rank,2022,2022-01-03,2022-12-30,251,0.6990054205217439,0.9548417480312235
rank,2023,2023-01-03,2023-12-29,250,-0.2514271577252914,-0.2243844940852402
rank,pre_half,2014-01-03,2018-12-31,1257,0.7474164388979473,1.7732511588696143
rank,post_half,2019-01-02,2023-12-29,1258,0.07622462641534092,0.18309316065739423
decile,2014,2014-01-03,2014-12-31,251,0.5536225310436366,0.6167339918878013
decile,2015,2015-01-02,2015-12-31,252,1.279098473775123,1.450101036627136
decile,2016,2016-01-04,2016-12-30,252,-0.26840348086723864,-0.28610824800736606
decile,2017,2017-01-03,2017-12-29,251,0.7943536130652051,0.7390658757207547
decile,2018,2018-01-02,2018-12-31,251,2.04133531405266,2.291641536949538
decile,2019,2019-01-02,2019-12-31,252,-0.03282632710042594,-0.029053345028330284
decile,2020,2020-01-02,2020-12-31,253,-1.0080847324213695,-1.1691208565778746
decile,2021,2021-01-04,2021-12-31,252,0.8000936604748091,0.6970177660956309
decile,2022,2022-01-03,2022-12-30,251,0.7460491531652403,0.9930642624756817
decile,2023,2023-01-03,2023-12-29,250,-0.14211712206663557,-0.12766737528921931
decile,pre_half,2014-01-03,2018-12-31,1257,0.7458386549164813,1.7878868848530507
decile,post_half,2019-01-02,2023-12-29,1258,0.06498281944518772,0.15301359955761504
